trace,trace_type,eviction,prefetcher,cache_size,interaction_window,miss_ratio,byte_miss_ratio,n_req,n_prefetch,n_prefetch_then_evict,n_prefetch_then_evict_then_miss,n_prefetch_then_evict_no_demand,n_prefetch_then_evict_then_hit,n_evict,n_evict_then_prefetch,n_evict_then_useful_prefetch,n_evict_then_useless_prefetch,log_path,status
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__16mb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__16mb__w10000.log,fail:134
w01.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,10000,0.8455,0.7936,215796257,1441354,522,127,333,62,183626938,89949,17143,72806,./results/cp_sweep_intensity/logs/w01.oracleGeneral.bin.zst__fifo__Mithril__1gb__w10000.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__64mb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__64mb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__256mb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__64mb__w10000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__256mb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,1gb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__1gb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,1gb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__1gb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__16mb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__16mb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__16mb__w10000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__64mb__w100.log,fail:134
w02.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,1gb,100,0.1466,0.1160,122181000,174216939,0,0,0,0,192108715,255815,50796,205019,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__lru__Mithril__1gb__w100.log,ok
w02.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,100,0.1468,0.1163,122181000,174247061,0,0,0,0,192153455,271668,56031,215637,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__fifo__Mithril__1gb__w100.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__64mb__w1000.log,fail:134
w02.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,64mb,100,0.1760,0.1287,122181000,204350235,0,0,0,0,225849087,532482,85126,447356,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__lru__Mithril__64mb__w100.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__lru__Mithril__256mb__w10000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__256mb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__64mb__w10000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__1gb__w100.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__256mb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,100,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__sieve__Mithril__16mb__w100.log,fail:134
w02.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,64mb,100,0.1761,0.1285,122181000,204367165,0,0,0,0,225876344,534971,85492,449479,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__fifo__Mithril__64mb__w100.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,1gb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__fifo__Mithril__1gb__w1000.log,fail:134
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,1000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__sieve__Mithril__16mb__w1000.log,fail:134
w02.oracleGeneral.bin.zst,oracleGeneral,lru,Mithril,256mb,100,0.1621,0.1243,122181000,202058826,0,0,0,0,221852652,384055,65871,318184,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__lru__Mithril__256mb__w100.log,ok
w03.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,16mb,10000,,,,,,,,,,,,,./results/cp_sweep_intensity/logs/w03.oracleGeneral.bin.zst__sieve__Mithril__16mb__w10000.log,fail:134
w02.oracleGeneral.bin.zst,oracleGeneral,fifo,Mithril,256mb,100,0.1623,0.1244,122181000,202132011,0,0,0,0,221956385,385760,65122,320638,./results/cp_sweep_intensity/logs/w02.oracleGeneral.bin.zst__fifo__Mithril__256mb__w100.log,ok
