trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w63.oracleGeneral.bin.zst,oracleGeneral,gdsf,none,623740083,62374008320,0.01,0.7945,0.6660,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__gdsf__noprefetch__623740083.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,s3fifo,OBL,4260163476,426016347656,0.01,0.8945,0.9394,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__s3fifo__OBL__4260163476.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,s3fifo,PG,4260163476,426016347656,0.01,0.8945,0.9394,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__s3fifo__PG__4260163476.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,lhd,OBL,396206090,39620609024,0.01,0.9227,0.9255,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__lhd__OBL__396206090.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,s3fifo,Mithril,4260163476,426016347656,0.01,0.8945,0.9394,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__s3fifo__Mithril__4260163476.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,gdsf,none,4260163476,426016347656,0.01,0.8998,0.9451,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__gdsf__noprefetch__4260163476.log,ok
w62.oracleGeneral.bin.zst,oracleGeneral,lhd,PG,396206090,39620609024,0.01,0.9241,0.9272,9497745,./results/cp_wss01_prefetch_ext/logs/w62.oracleGeneral.bin.zst__lhd__PG__396206090.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,gdsf,OBL,4260163476,426016347656,0.01,0.8998,0.9451,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__gdsf__OBL__4260163476.log,ok
w64.oracleGeneral.bin.zst,oracleGeneral,arc,Mithril,4260163476,426016347656,0.01,0.8936,0.9387,7458266,./results/cp_wss01_prefetch_ext/logs/w64.oracleGeneral.bin.zst__arc__Mithril__4260163476.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,lhd,none,623740083,62374008320,0.01,0.7917,0.7461,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__lhd__noprefetch__623740083.log,ok
w65.oracleGeneral.bin.zst,oracleGeneral,arc,none,586067143,58606714368,0.01,0.9748,0.9868,9316229,./results/cp_wss01_prefetch_ext/logs/w65.oracleGeneral.bin.zst__arc__noprefetch__586067143.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,lhd,Mithril,623740083,62374008320,0.01,0.7899,0.7410,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__lhd__Mithril__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,lhd,PG,623740083,62374008320,0.01,0.7899,0.7410,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__lhd__PG__623740083.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,lhd,OBL,623740083,62374008320,0.01,0.7923,0.7467,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__lhd__OBL__623740083.log,ok
w65.oracleGeneral.bin.zst,oracleGeneral,arc,OBL,586067143,58606714368,0.01,0.9567,0.9861,9316229,./results/cp_wss01_prefetch_ext/logs/w65.oracleGeneral.bin.zst__arc__OBL__586067143.log,ok
w63.oracleGeneral.bin.zst,oracleGeneral,gdsf,PG,623740083,62374008320,0.01,0.7945,0.6660,9380316,./results/cp_wss01_prefetch_ext/logs/w63.oracleGeneral.bin.zst__gdsf__PG__623740083.log,ok
w65.oracleGeneral.bin.zst,oracleGeneral,s3fifo,none,586067143,58606714368,0.01,0.9698,0.9831,9316229,./results/cp_wss01_prefetch_ext/logs/w65.oracleGeneral.bin.zst__s3fifo__noprefetch__586067143.log,ok
