trace,trace_type,eviction,prefetcher,cache_size,wss_byte,wss_frac,miss_ratio,byte_miss_ratio,n_req,log_path,status
w88.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,81331210,8133121024,0.01,0.3387,0.5704,4711053,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__sieve__OBL__81331210.log,ok
w84.oracleGeneral.bin.zst,oracleGeneral,lru,PG,216742246,21674224640,0.01,0.4784,0.5573,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__lru__PG__216742246.log,ok
w82.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,26526013,2652601344,0.01,0.2020,0.2160,4926610,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w82.oracleGeneral.bin.zst__sieve__Mithril__26526013.log,ok
w84.oracleGeneral.bin.zst,oracleGeneral,sieve,PG,216742246,21674224640,0.01,0.4701,0.5265,4814234,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w84.oracleGeneral.bin.zst__sieve__PG__216742246.log,ok
w89.oracleGeneral.bin.zst,oracleGeneral,lru,none,234208133,23420813312,0.01,0.4346,0.5636,3625918,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w89.oracleGeneral.bin.zst__lru__noprefetch__234208133.log,ok
w88.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,81331210,8133121024,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w88.oracleGeneral.bin.zst__sieve__Mithril__81331210.log,fail:134
w89.oracleGeneral.bin.zst,oracleGeneral,lru,OBL,234208133,23420813312,0.01,0.4343,0.5636,3625918,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w89.oracleGeneral.bin.zst__lru__OBL__234208133.log,ok
w85.oracleGeneral.bin.zst,oracleGeneral,sieve,Mithril,239353927,23935392768,0.01,,,,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w85.oracleGeneral.bin.zst__sieve__Mithril__239353927.log,fail:134
w89.oracleGeneral.bin.zst,oracleGeneral,sieve,none,234208133,23420813312,0.01,0.4078,0.5518,3625918,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w89.oracleGeneral.bin.zst__sieve__noprefetch__234208133.log,ok
w89.oracleGeneral.bin.zst,oracleGeneral,sieve,OBL,234208133,23420813312,0.01,0.4074,0.5517,3625918,/users/varuncg/libCacheSim/results/cp_wss01_prefetch/logs/w89.oracleGeneral.bin.zst__sieve__OBL__234208133.log,ok
